시군구,번지,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,a,실거래가
울산광역시 울주군,1***,임야,제1종일반주거지역,-,201810,22,99.0,3900,지분,16,386100.0
울산광역시 울주군,2**,대,제1종일반주거지역,12m미만,201810,22,37.0,4595, ,17,170015.0
울산광역시 울주군,5**,임야,제2종일반주거지역,12m미만,201810,22,20.0,669, ,17,13380.0
울산광역시 중구 ,1**,전,제3종일반주거지역,8m미만,201810,23,118.0,10000, ,12,1180000.0
울산광역시 울주군,3**,대,제2종일반주거지역,25m미만,201810,23,100.6,15000, ,17,1509000.0
울산광역시 울주군,6**,전,제1종일반주거지역,8m미만,201810,23,1263.0,20900, ,17,26396700.0
울산광역시 울주군,7*,전,제2종일반주거지역,12m미만,201810,23,41.0,3000, ,17,123000.0
울산광역시 북구 ,1*,전,제2종일반주거지역,12m미만,201810,23,459.8,73600, ,12,33841280.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,-,201810,23,330.5,9604,지분,17,3174122.0
울산광역시 중구 ,1**,대,제2종일반주거지역,8m미만,201810,24,72.0,11760, ,12,846720.0
울산광역시 중구 ,3**,전,제2종일반주거지역,8m미만,201810,24,194.0,17000, ,11,3298000.0
울산광역시 울주군,산3**,임야,제1종일반주거지역,12m미만,201810,24,166.04,3250,지분,17,539630.0
울산광역시 북구 ,6**,대,제1종일반주거지역,8m미만,201810,24,27.0,3750,지분,12,101250.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201810,24,165.0,8330, ,17,1374450.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201810,24,165.0,8330, ,17,1374450.0
울산광역시 울주군,5**,대,제2종일반주거지역,12m미만,201810,25,7.0,1325, ,17,9275.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,25,33.0,1470,지분,17,48510.0
울산광역시 울주군,산1*,임야,제1종일반주거지역,-,201810,25,49.0,2161,지분,17,105889.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,25,50.0,2205,지분,17,110250.0
울산광역시 울주군,산1*,임야,제1종일반주거지역,-,201810,25,56.0,2499,지분,17,139944.0
울산광역시 울주군,4**,답,제1종일반주거지역,8m미만,201810,25,2932.0,72000, ,17,211104000.0
울산광역시 울주군,5**,답,제1종일반주거지역,-,201810,26,132.0,10720,지분,17,1415040.0
울산광역시 남구 ,2**,대,제2종일반주거지역,12m미만,201810,26,5.0,100, ,12,500.0
울산광역시 중구 ,1**,전,제1종일반주거지역,8m미만,201810,26,1.75,300,지분,11,525.0
울산광역시 남구 ,2**,대,제2종일반주거지역,12m미만,201810,26,22.0,480, ,12,10560.0
울산광역시 남구 ,2**,대,제2종일반주거지역,12m미만,201810,26,24.0,520, ,12,12480.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201810,26,330.0,6379, ,17,2105070.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201810,26,331.0,6398, ,17,2117738.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201810,26,331.0,6398, ,17,2117738.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201810,26,331.0,6398, ,17,2117738.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201810,26,331.0,6398, ,17,2117738.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201810,26,442.0,8545, ,17,3776890.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,-,201810,26,661.0,9000,지분,17,5949000.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201810,26,496.0,9587, ,17,4755152.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201810,26,512.0,9897, ,17,5067264.0
울산광역시 울주군,5**,답,제1종일반주거지역,-,201810,26,13.0,915,지분,17,11895.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,-,201810,27,330.0,5200,지분,17,1716000.0
울산광역시 중구 ,3**,대,제2종일반주거지역,8m미만,201810,28,83.0,9000, ,12,747000.0
울산광역시 울주군,1***,전,제1종일반주거지역,8m미만,201810,29,245.0,13500, ,17,3307500.0
울산광역시 북구 ,3**,답,제1종일반주거지역,-,201810,29,106.0,2500, ,12,265000.0
울산광역시 울주군,4**,전,제1종일반주거지역,8m미만,201810,30,182.0,9000, ,17,1638000.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,-,201810,30,330.5,9604,지분,17,3174122.0
울산광역시 북구 ,4**,전,제2종일반주거지역,25m미만,201810,31,86.0,14760,지분,12,1269360.0
울산광역시 북구 ,4**,전,제2종일반주거지역,25m미만,201810,31,35.0,5950,지분,12,208250.0
울산광역시 북구 ,5**,임야,제2종일반주거지역,8m미만,201810,31,841.0,50000, ,12,42050000.0
울산광역시 북구 ,4**,답,제1종일반주거지역,8m미만,201810,31,37.0,6290,지분,12,232730.0
울산광역시 중구 ,9**,임야,제2종일반주거지역,8m미만,201811,1,9.0,1157, ,12,10413.0
울산광역시 울주군,3**,답,제1종일반주거지역,12m미만,201811,1,440.0,10300, ,17,4532000.0
울산광역시 중구 ,7**,전,제2종일반주거지역,25m미만,201811,1,370.0,100900, ,12,37333000.0
울산광역시 중구 ,7**,대,제2종일반주거지역,8m미만,201811,1,101.0,12979, ,12,1310879.0
울산광역시 중구 ,9**,전,제2종일반주거지역,8m미만,201811,1,1.0,129, ,12,129.0
